n_estimators,learning_rate,score,generalization_score
16,1.583963679227197,0.29648906310491674,0.26666666666666666
21,0.07023549332126301,0.6548586914440573,0.6944444444444444
49,0.000124090931101,0.20876403406891214,0.15555555555555556
14,0.001735567408628,0.24354432830042586,0.15555555555555556
18,0.29793276259370205,0.6451316298877274,0.6388888888888888
72,0.0358,0.657636469221835,0.6888888888888889
83,0.0115,0.6952477739063105,0.6444444444444445
46,0.7342,0.5678910181958962,0.5138888888888888
79,0.8765,0.4092140921409214,0.3138888888888889
60,0.6951,0.6081905729771584,0.6111111111111112
74,0.0036,0.5845770421989934,0.625
100,0.1,0.6708575300038715,0.6944444444444444
92,0.0067,0.6472415795586528,0.6111111111111112
81,0.0066,0.6346980255516841,0.6111111111111112
68,0.0101,0.6555918505613627,0.6111111111111112
87,0.0002,0.21155149051490513,0.15555555555555556
85,0.0013,0.5587616144018583,0.5333333333333333
83,0.0189,0.692426442121564,0.6472222222222223
93,0.0999,0.670189701897019,0.7138888888888889
74,0.0111,0.6834301200154859,0.6638888888888889
79,0.0072,0.6514130855594271,0.6111111111111112
87,0.0019,0.5991627951993805,0.4888888888888889
69,0.0145,0.7119386372435154,0.65
80,0.0243,0.6840616531165311,0.6666666666666666
100,0.1234,0.6513985675571041,0.6888888888888889
98,0.2278,0.6542053813395275,0.6472222222222223
43,0.1345,0.6464430894308942,0.65
89,0.0045,0.627736643437863,0.5972222222222222
51,0.0146,0.6632404181184669,0.6138888888888889
94,0.0314,0.6541448896631824,0.6722222222222223
