X0,X1,X2,X3,X4,X5,score,generalization_score
61,1.095706562156234,39,0.001893412804339,0.261254081864405,0.0011382453367170002,0.7724520905923346,0.7972222222222223
56,0.00030713533483000004,32,0.006015816920825001,0.137631667310846,0.022872834873117,0.9193041037553232,0.9583333333333334
82,0.00132871069682,128,0.04499930257575,0.538002241604574,0.8327636100005461,0.42930216802168025,0.7888888888888889
110,0.02073154660543,84,0.002220648782651,0.182953386555359,0.02310073334057,0.7961115950445219,0.8055555555555556
164,0.8043116425855961,72,0.037347404133724005,0.48478462306302506,0.001153013936524,0.8678087495160666,0.875
85,0.0004,249,0.1,0.9,0.999,0.18655632984901277,0.20277777777777778
87,0.0002,249,0.0001,0.1001,0.999,0.6903189121176927,0.6777777777777778
172,0.0014,122,0.0001,0.1,0.999,0.8705502322880372,0.8861111111111111
116,0.0004,249,0.0001,0.1,0.999,0.7474351529229578,0.7361111111111112
110,0.0002,250,0.0001,0.1,0.999,0.7369918699186992,0.65
83,0.0003,36,0.0044,0.1905,0.0267,0.9025817847464188,0.9194444444444444
55,0.0001,200,0.1,0.9,0.999,0.23660472319008904,0.14722222222222223
162,0.0376,88,0.0257,0.6792,0.2201,0.8399462833914054,0.8888888888888888
122,0.0985,35,0.0001,0.8999,0.001,0.11133372048006196,0.1111111111111111
56,0.0003,32,0.006,0.1376,0.0229,0.9200033875338753,0.9583333333333334
126,0.0019,45,0.0045,0.1954,0.0274,0.8969875145180023,0.9194444444444444
79,0.0001,59,0.0001,0.1,0.999,0.8956010452961672,0.9388888888888889
92,0.001,199,0.009,0.9,0.999,0.43356804103755325,0.43333333333333335
100,0.003,250,0.1,0.9,0.999,0.21852739063104915,0.19166666666666668
59,0.0012,32,0.0082,0.1713,0.0311,0.933207510646535,0.9166666666666666
60,0.0114,32,0.0019,0.3005,0.1246,0.6986885404568332,0.7083333333333334
69,0.0007,32,0.008,0.1582,0.0286,0.9339116337591948,0.9361111111111111
71,0.0021,32,0.0073,0.1503,0.0263,0.9339019550909795,0.9472222222222222
100,7.238023281097412,150,0.04218947887420654,0.35554632544517517,0.18408535420894623,0.7710970770421991,0.7833333333333333
124,0.0003,32,0.006,0.1376,0.0229,0.938083139759969,0.9527777777777777
121,0.0698,44,0.0054,0.2481,0.6789,0.9234635114208285,0.9388888888888889
175,4.603525638580322,91,0.04384595528244972,0.4097042381763458,0.33945178985595703,0.8817073170731708,0.9
123,0.0001,50,0.0001,0.1,0.999,0.895617982965544,0.9416666666666667
112,0.0002,33,0.0079,0.1714,0.031,0.934608497870693,0.9416666666666667
122,0.0001,32,0.006,0.1376,0.0229,0.91369289585753,0.9416666666666667
