feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,score,generalization_score
185,0.000108685594791,215,0.002729872765365,0.371717949499384,0.0026566298800650002,0.37786730545876884,0.42777777777777776
84,0.155067725021613,227,0.0034029253146690003,0.101140030174416,0.052097967219698005,0.8086261130468447,0.8305555555555556
104,0.042149422583877,104,0.017692572850768,0.384147239692245,0.0062994922760190005,0.8204655439411536,0.8527777777777777
147,0.7351443178574231,15,1.4425186853193611e-05,0.7975590482703061,0.021819944836148002,0.1002322880371661,0.12777777777777777
116,2.47889002222658e-05,52,0.029075757573501,0.638161187869686,0.595741010417508,0.8740200348432057,0.8833333333333333
160,0.0001,202,0.0149,0.8999,0.9989,0.6235022260936895,0.5916666666666667
107,0.0003,51,0.1,0.1,0.999,0.17336914440572979,0.2777777777777778
138,0.0003,178,0.0001,0.8998,0.9989,0.12527342237708092,0.14166666666666666
200,0.0001,250,0.0001,0.9,0.999,0.18646922183507547,0.28055555555555556
144,0.0001,50,0.0001,0.9,0.999,0.30201316298877273,0.3527777777777778
161,0.0001,250,0.0242,0.8999,0.9989,0.4138913085559427,0.4777777777777778
78,0.0001,104,0.0001,0.9,0.999,0.1962422570654278,0.16666666666666666
55,0.0001,248,0.03,0.8995,0.998,0.25322057684862564,0.3333333333333333
185,0.0001,170,0.0999,0.15,0.999,0.8010162601626016,0.8472222222222222
81,0.0244,50,0.0003,0.9,0.999,0.5059451219512195,0.5861111111111111
114,0.0001,100,0.0001,0.9,0.999,0.2748499806426635,0.23333333333333334
185,0.0001,250,0.0001,0.9,0.999,0.3458938250096787,0.3638888888888889
92,0.0002,65,0.0002,0.9,0.999,0.16423974061169183,0.20277777777777778
185,0.0001,215,0.1,0.9,0.999,0.2219971931862176,0.2638888888888889
75,0.9513,170,0.0554,0.621,0.2001,0.41471641502129303,0.44722222222222224
124,0.0001,237,0.1,0.1,0.999,0.5852811653116532,0.39444444444444443
156,0.9464,62,0.0798,0.8234,0.285,0.5204655439411537,0.5805555555555556
176,0.0096,143,0.0215,0.8698,0.9247,0.7891671506000774,0.7333333333333333
123,0.0001,137,0.0221,0.8977,0.9969,0.5337180603948897,0.525
75,0.9514,170,0.1,0.9,0.999,0.14547038327526132,0.23055555555555557
96,0.0001,183,0.0388,0.8738,0.9724,0.3194202477739063,0.5472222222222223
113,0.0001,10,0.0001,0.1,0.001,0.7675643631436314,0.7972222222222223
50,0.0001,250,0.1,0.9,0.999,0.1343399148277197,0.22777777777777777
130,0.0096,150,0.08,0.8,0.3,0.32354578010065815,0.5194444444444445
177,0.0097,10,0.0001,0.8999,0.999,0.7522139953542392,0.825
