hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
61,1.095706562156234,39,0.001893412804339,0.261254081864405,0.0011382453367170002,0.7724520905923346,0.7972222222222223
56,0.00030713533483000004,32,0.006015816920825001,0.137631667310846,0.022872834873117,0.9193041037553232,0.9583333333333334
82,0.00132871069682,128,0.04499930257575,0.538002241604574,0.8327636100005461,0.42930216802168025,0.7888888888888889
110,0.02073154660543,84,0.002220648782651,0.182953386555359,0.02310073334057,0.7961115950445219,0.8055555555555556
164,0.8043116425855961,72,0.037347404133724005,0.48478462306302506,0.001153013936524,0.8678087495160666,0.875
101,4.414065837860107,35,0.026886973530054092,0.16191978752613068,0.14580334722995758,0.9561822493224932,0.9555555555555556
164,5.098292827606201,70,0.004754960536956787,0.6639004945755005,0.6456446647644043,0.8476093689508323,0.8611111111111112
83,1.5956789255142212,35,0.09288813918828964,0.2668118476867676,0.8062443733215332,0.672200445218738,0.7944444444444444
50,8.161731719970703,84,0.03447774052619934,0.6108574271202087,0.9704186916351318,0.5092624854819976,0.5166666666666667
181,6.834205150604248,72,0.05988558009266853,0.8399779796600342,0.9674661159515381,0.7884775454897407,0.7805555555555556
101,2.9175708293914795,33,0.009114325977861881,0.688010036945343,0.029024265706539154,0.8135307781649244,0.8305555555555556
164,4.91876220703125,70,0.011401542462408543,0.5778136849403381,0.6897411346435547,0.8886614401858305,0.9138888888888889
164,5.140514850616455,66,0.016690459102392197,0.6173033714294434,0.6013464331626892,0.8886953155245839,0.9027777777777778
130,5.302731990814209,138,0.09391161054372787,0.5514574646949768,0.49377867579460144,0.47519115369725123,0.5666666666666667
160,6.810438632965088,66,0.030206819996237755,0.29945239424705505,0.8451486229896545,0.9575542005420055,0.95
164,0.959163248538971,67,0.07196658104658127,0.5708521604537964,0.2765616774559021,0.7510186798296555,0.7805555555555556
127,8.08021354675293,187,0.05081229284405708,0.5090811848640442,0.8551037907600403,0.8030705574912892,0.7722222222222223
161,2.990816831588745,73,0.00927285198122263,0.1140294298529625,0.06355956196784973,0.9408633372048005,0.9333333333333333
185,6.206521511077881,73,0.008337692357599735,0.8732892870903015,0.47448813915252686,0.722444831591173,0.825
56,2.9765255451202393,32,0.032676033675670624,0.19731126725673676,0.10371201485395432,0.9457292876500194,0.95
100,2.241330862045288,32,0.0967094674706459,0.4080824851989746,0.44755876064300537,0.6669062137049941,0.7583333333333333
100,7.307347297668457,33,0.08779452741146088,0.20848581194877625,0.5412154793739319,0.9241652148664343,0.9472222222222222
164,8.436975479125977,74,0.010123941116034985,0.3329910635948181,0.9353010058403015,0.9589455090979481,0.95
106,0.7511152625083923,37,0.07983216643333435,0.42533379793167114,0.7884324193000793,0.19903455284552846,0.6611111111111111
65,0.5403527021408081,41,0.04945652559399605,0.2873814105987549,0.14508089423179626,0.9366773132017034,0.9277777777777778
160,6.839465618133545,66,0.032663941383361816,0.316344290971756,0.9348151087760925,0.9582438056523422,0.9638888888888889
161,7.738672256469727,78,0.08583014458417892,0.7869809865951538,0.8414865136146545,0.24006000774293454,0.44722222222222224
111,5.749808311462402,83,0.0012511526001617312,0.39052814245224,0.3542987108230591,0.4042803910181959,0.4777777777777778
180,4.570641040802002,69,0.028985556215047836,0.10121815651655197,0.5138930678367615,0.9582559039876113,0.9527777777777777
56,0.7870692014694214,37,0.07774137705564499,0.20984946191310883,0.5461002588272095,0.39130371660859464,0.6
