hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
185,0.000108685594791,215,0.002729872765365,0.371717949499384,0.0026566298800650002,0.37786730545876884,0.42777777777777776
84,0.155067725021613,227,0.0034029253146690003,0.101140030174416,0.052097967219698005,0.8086261130468447,0.8305555555555556
104,0.042149422583877,104,0.017692572850768,0.384147239692245,0.0062994922760190005,0.8204655439411536,0.8527777777777777
147,0.7351443178574231,15,1.4425186853193611e-05,0.7975590482703061,0.021819944836148002,0.1002322880371661,0.12777777777777777
116,2.47889002222658e-05,52,0.029075757573501,0.638161187869686,0.595741010417508,0.8740200348432057,0.8833333333333333
118,0.0001,94,0.0012,0.5639,0.002,0.1809233449477352,0.19722222222222222
98,0.0354,23,0.0689,0.5646,0.7821,0.21287020905923346,0.15833333333333333
92,0.0723,51,0.0874,0.2754,0.8642,0.27411440185830427,0.26944444444444443
200,0.0001,119,0.1,0.1,0.999,0.5263792102206736,0.3
119,0.0013,177,0.0692,0.851,0.671,0.23655391018195893,0.15555555555555556
140,0.01,50,0.001,0.1,0.9,0.9450251645373596,0.9472222222222222
65,0.0021,13,0.0677,0.8,0.9,0.09673102981029809,0.08333333333333333
62,0.001,40,0.0055,0.4655,0.8501,0.9158076848625629,0.95
162,0.0101,50,0.0001,0.1001,0.9001,0.8636299845141308,0.9
90,0.0001,134,0.0001,0.9,0.001,0.08976964769647697,0.09722222222222222
102,0.002,100,0.001,0.1,0.9,0.9304006968641115,0.9222222222222223
50,0.0001,10,0.1,0.9,0.001,0.1120305845915602,0.22777777777777777
200,0.0003,100,0.0012,0.4856,0.7834,0.7146631823461093,0.7555555555555555
108,0.0123,143,0.0012,0.5678,0.789,0.5177555168408828,0.6
76,0.001,31,0.0056,0.2222,0.7778,0.9422425474254743,0.9416666666666667
59,0.007,102,0.0011,0.5,0.8,0.37575735578784364,0.4388888888888889
100,0.0003,60,0.004,0.8,0.95,0.7807830042586139,0.8166666666666667
63,0.002,11,0.0064,0.263,0.932,0.9436241773132018,0.9694444444444444
84,0.0101,66,0.0056,0.2222,0.7778,0.931806523422377,0.9361111111111111
200,0.01,50,0.1,0.1,0.9,0.2588971157568719,0.4083333333333333
66,0.0064,11,0.0056,0.263,0.932,0.9471399535423926,0.9611111111111111
113,0.2714,172,0.0471,0.3537,0.227,0.830899148277197,0.8888888888888888
172,0.5421,123,0.0364,0.4001,0.8999,0.9311169183120404,0.9222222222222223
61,0.0001,50,0.0065,0.1,0.9,0.9519889663182347,0.9722222222222222
200,0.0001,107,0.0001,0.1,0.9,0.8246031746031747,0.8472222222222222
