X0,X1,X2,X3,X4,X5,score,generalization_score
7,0.27384505982301605,5.7187408672443325e-05,0.032434060996912005,0.019627781772875,0.01432419850735,0.8615103561749903,0.8416666666666667
4,0.048934273926388,0.19838373711533402,0.081415282032941,0.068637163305826,0.143931321718827,0.10577574525745259,0.08055555555555556
4,0.56546022421217,0.013693796598963002,0.13590065737339302,0.06804373593266101,0.087962053186335,0.6242499032133179,0.5972222222222222
3,0.024850681527716002,0.40037228433776806,0.43306383724353503,0.042216314909836,0.147965672086171,0.10577574525745259,0.08055555555555556
13,0.609970094480184,0.042522105684888005,0.011641534821384001,0.02182325676209,0.304953075049531,0.5539198606271777,0.4666666666666667
8,0.2843,0.0017,0.0322,0.0294,0.0218,0.8482844560588463,0.8138888888888889
8,0.2448,0.0,0.01,0.01,0.01,0.8956131436314363,0.9083333333333333
9,0.2346,0.0017,0.0104,0.0189,0.0123,0.8977182539682541,0.8777777777777778
9,0.1633,0.1721,0.01,0.3571,0.1574,0.10577574525745259,0.08055555555555556
9,0.415471613407135,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.8963148470770422,0.8777777777777778
14,0.642898440361023,0.12967205047607422,0.009999999776482582,0.009999999776482582,0.40758994221687317,0.10577574525745259,0.08055555555555556
1,0.08488655090332031,0.01686791516840458,0.0810459703207016,0.9900000095367432,0.23096394538879395,0.10577574525745259,0.08055555555555556
8,0.01,0.0,0.01,0.01,0.01,0.777308362369338,0.7444444444444445
9,0.3071,0.0,0.01,0.01,0.01,0.9004887727448703,0.875
9,0.338,0.0,0.01,0.01,0.01,0.9060515873015873,0.9111111111111111
10,0.3217,0.0003,0.0102,0.0101,0.0101,0.902579365079365,0.8888888888888888
12,0.4487,0.0,0.01,0.01,0.01,0.8949090205187765,0.9
10,0.3256,0.0013,0.0101,0.0101,0.0101,0.8997991676345334,0.8861111111111111
9,0.2961,0.0102,0.0211,0.0109,0.0195,0.8649922570654278,0.8805555555555555
13,0.34,0.0,0.01,0.01,0.01,0.9053571428571429,0.9055555555555556
13,0.3738,0.0,0.01,0.01,0.01,0.8956155632984901,0.8611111111111112
10,0.1518,0.0,0.01,0.01,0.01,0.9123185249709639,0.8972222222222223
13,0.1947,0.0379,0.01,0.01,0.01,0.7286536972512583,0.7055555555555556
12,0.0587,0.0,0.01,0.01,0.01,0.9053547231900889,0.8944444444444445
12,0.2397906482219696,0.0,0.1613873392343521,0.009999999776482582,0.009999999776482582,0.6396196283391407,0.6472222222222223
14,0.4437,0.0,0.01,0.01,0.01,0.8949090205187765,0.9
15,0.2385,0.0,0.01,0.01,0.01,0.8997967479674797,0.9
13,0.17987462878227234,0.5,0.49000000953674316,0.9349436163902283,0.2677662670612335,0.10577574525745259,0.08055555555555556
12,0.1423,0.0,0.01,0.01,0.01,0.9123185249709639,0.8972222222222223
4,0.01,0.0,0.01,0.01,0.01,0.7237127371273713,0.6944444444444444
