max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.258943323491781,0.14545236945647202,0.07301276842154,0.6053358137165971,0.32727366913738304,0.10577574525745259,0.08055555555555556
3,0.025916788312907002,0.025733601650414002,0.055597475198167004,0.011471547768812,0.059174926217381005,0.5692750677506775,0.5638888888888889
10,0.035954977598076004,0.338127450990065,0.099695146946049,0.011165009283219,0.088018302545044,0.10577574525745259,0.08055555555555556
5,0.06735821318219401,0.141762540885659,0.148435914494946,0.075680665183566,0.018413537756286,0.10577574525745259,0.08055555555555556
9,0.360764343380227,0.153181766188089,0.023722057013521,0.059463312150988004,0.38253570233160905,0.10577574525745259,0.08055555555555556
15,0.887,0.2867,0.0117,0.3366,0.1146,0.10577574525745259,0.08055555555555556
13,0.2743,0.1212,0.0324,0.2124,0.1553,0.10577574525745259,0.08055555555555556
9,0.3256,0.3459,0.0224,0.2121,0.2136,0.10577574525745259,0.08055555555555556
6,0.5329,0.025,0.0101,0.011,0.0101,0.8392566782810686,0.8
14,0.4246,0.0112,0.0155,0.0111,0.0101,0.8642905536198219,0.8222222222222222
15,0.3116,0.0001,0.01,0.01,0.01,0.899791908633372,0.875
10,0.031,0.1538,0.0198,0.0111,0.01,0.10577574525745259,0.08055555555555556
10,0.2603,0.0001,0.0101,0.0101,0.01,0.9067339334107627,0.9027777777777778
15,0.9899,0.0001,0.0101,0.0101,0.01,0.8844754161827332,0.875
13,0.2752,0.0,0.0101,0.01,0.01,0.9053692411924119,0.9055555555555556
15,0.989,0.0,0.01,0.01,0.01,0.8844754161827332,0.875
10,0.0101,0.0,0.0101,0.0101,0.01,0.7724666085946573,0.7611111111111111
8,0.6814,0.0,0.01,0.01,0.01,0.8969947735191637,0.8833333333333333
15,0.99,0.0,0.01,0.01,0.01,0.8844754161827332,0.875
15,0.9896,0.0003,0.0152,0.0102,0.0101,0.8656867015098723,0.8444444444444444
12,0.9512,0.0,0.0101,0.01,0.01,0.8789077622919086,0.875
9,0.2876,0.0,0.01,0.01,0.01,0.8858739837398375,0.8861111111111111
14,0.99,0.0,0.0101,0.0101,0.01,0.8844754161827332,0.875
11,0.9667,0.0,0.0101,0.01,0.01,0.8893341076267905,0.8694444444444445
11,0.99,0.0,0.01,0.011,0.01,0.8844754161827332,0.875
15,0.9786,0.0255,0.0102,0.0101,0.0101,0.8266961866047232,0.775
11,0.2732,0.0,0.01,0.01,0.01,0.9053692411924119,0.9055555555555556
12,0.49,0.0,0.01,0.01,0.01,0.9004742547425474,0.8916666666666667
10,0.4923,0.0,0.0101,0.01,0.01,0.9004742547425474,0.8916666666666667
9,0.3215,0.0,0.0101,0.0101,0.01,0.9018849206349205,0.8861111111111111
