n_estimators,learning_rate,score,generalization_score
91,0.0007302585582140001,0.9088669950738917,0.9166666666666666
87,0.110962953351353,0.9150246305418719,0.9722222222222222
64,0.000509707317029,0.8945812807881774,0.9166666666666666
30,0.31052829556572503,0.9507389162561577,0.9722222222222222
91,0.146155620802551,0.8935960591133005,0.9166666666666666
55,0.6564,0.958128078817734,0.9722222222222222
58,0.7236,0.9438423645320198,1.0
61,0.9827,0.9435960591133006,1.0
81,0.7516,0.97192118226601,0.9444444444444444
50,0.9989,0.8940886699507388,0.8611111111111112
100,0.9942,0.9081280788177339,1.0
60,0.9983,0.9081280788177339,0.8611111111111112
92,0.2425,0.9293103448275861,0.8888888888888888
68,0.7881,0.97192118226601,0.9722222222222222
77,0.4893,0.9509852216748769,0.9722222222222222
68,0.788,0.9647783251231526,0.9722222222222222
76,0.7637,0.9578817733990148,1.0
98,0.0025,0.9295566502463055,0.9166666666666666
90,0.6276,0.9507389162561577,0.9722222222222222
94,0.8568,0.9433497536945813,1.0
79,0.8201,0.9650246305418719,1.0
88,0.8929,0.9290640394088671,0.9722222222222222
98,0.9901,0.922167487684729,0.9722222222222222
75,0.8598,0.9366995073891626,1.0
74,0.7159,0.9578817733990148,0.9722222222222222
91,0.6924,0.9578817733990148,0.9722222222222222
79,0.7175,0.9507389162561577,0.9722222222222222
83,0.9798,0.9650246305418719,1.0
52,2.0578,0.8736453201970443,0.9166666666666666
82,0.999,0.8940886699507388,0.8611111111111112
