feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,score,generalization_score
58,0.972673331466651,97,0.082752285393054,0.12181788428012301,0.015489501067079001,0.38743842364532016,0.4444444444444444
103,0.008314343846587,248,0.017105143900736003,0.416621112737509,0.287119248478133,0.4150246305418719,0.4444444444444444
86,0.38568757833618,37,6.555698792765721e-05,0.129910978158211,0.42986071285403005,0.5571428571428572,0.6944444444444444
129,0.008970486390256,186,1.143728661105335e-05,0.12276963806369201,0.301511303677967,0.15467980295566502,0.25
175,2.26186199275213,240,0.0017593347551360002,0.122012805857397,0.9717039547524511,0.4098522167487685,0.4444444444444444
90,0.1001,250,0.001,0.8999,0.9989,0.3169950738916256,0.3888888888888889
163,0.0001,77,0.0512,0.8997,0.999,0.29556650246305416,0.3888888888888889
120,0.0002,50,0.0001,0.1002,0.9988,0.5588669950738916,0.75
69,0.0003,249,0.0012,0.8998,0.9989,0.3169950738916256,0.3888888888888889
114,0.5992,50,0.001,0.9,0.999,0.37315270935960587,0.5833333333333334
169,0.5993,249,0.0001,0.1001,0.999,0.5699507389162561,0.6388888888888888
124,0.0003,222,0.0001,0.1046,0.9989,0.41600985221674874,0.7777777777777778
154,0.0001,250,0.0001,0.8999,0.9989,0.3169950738916256,0.3888888888888889
125,0.0001,249,0.0001,0.9,0.9989,0.2812807881773399,0.1388888888888889
180,0.0001,160,0.0001,0.1,0.999,0.408128078817734,0.75
171,0.0001,249,0.0001,0.1,0.999,0.39507389162561574,0.4444444444444444
64,0.0002,195,0.02,0.6,0.6,0.38029556650246304,0.3888888888888889
142,0.0002,60,0.0003,0.1,0.9989,0.3665024630541872,0.4166666666666667
120,0.0003,240,0.0001,0.1001,0.999,0.5660098522167487,0.75
89,0.001,249,0.0001,0.1,0.999,0.5982758620689655,0.4444444444444444
120,0.0001,50,0.0001,0.1,0.999,0.5591133004926108,0.75
54,0.0001,249,0.0001,0.9,0.999,0.24704433497536943,0.1388888888888889
133,0.0001,249,0.0001,0.1,0.999,0.5206896551724138,0.6111111111111112
122,0.0001,123,0.0001,0.1,0.999,0.470935960591133,0.6944444444444444
145,0.0001,249,0.0001,0.1,0.999,0.5985221674876848,0.75
157,0.0001,249,0.0001,0.1,0.999,0.5349753694581281,0.16666666666666666
148,0.0019,249,0.0001,0.1,0.999,0.5834975369458129,0.5833333333333334
170,0.0004,250,0.0001,0.1,0.999,0.5268472906403942,0.75
154,0.0002,239,0.0002,0.9,0.999,0.3169950738916256,0.3888888888888889
147,0.0003,249,0.0001,0.1,0.999,0.5054187192118227,0.4444444444444444
