hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
185,0.000108685594791,215,0.002729872765365,0.371717949499384,0.0026566298800650002,0.4714285714285714,0.4444444444444444
84,0.155067725021613,227,0.0034029253146690003,0.101140030174416,0.052097967219698005,0.30935960591133005,0.4444444444444444
104,0.042149422583877,104,0.017692572850768,0.384147239692245,0.0062994922760190005,0.3445812807881773,0.16666666666666666
147,0.7351443178574231,15,1.4425186853193611e-05,0.7975590482703061,0.021819944836148002,0.33817733990147786,0.3333333333333333
116,2.47889002222658e-05,52,0.029075757573501,0.638161187869686,0.595741010417508,0.33842364532019703,0.3888888888888889
159,0.0001,67,0.0256,0.3014,0.6789,0.38743842364532016,0.4444444444444444
147,0.0001,10,0.1,0.1,0.999,0.36600985221674875,0.4444444444444444
175,0.0001,150,0.015,0.3,0.9,0.3027093596059113,0.16666666666666666
192,0.0001,83,0.0042,0.1,0.999,0.38743842364532016,0.4444444444444444
200,0.0001,227,0.001,0.1,0.999,0.4512315270935961,0.6944444444444444
200,0.0001,15,0.1,0.1,0.999,0.3374384236453202,0.4444444444444444
200,0.0001,217,0.0021,0.3998,0.0012,0.3169950738916256,0.5833333333333334
181,0.0001,74,0.0027,0.3717,0.0027,0.437192118226601,0.16666666666666666
200,0.0001,10,0.1,0.1,0.999,0.3374384236453202,0.4444444444444444
200,0.0001,15,0.0027,0.3717,0.0027,0.4165024630541872,0.4444444444444444
165,0.0123,123,0.0123,0.1234,0.2345,0.37315270935960587,0.4444444444444444
67,2.0123,85,0.0301,0.3,0.6789,0.30985221674876845,0.3888888888888889
50,9.9999,250,0.1,0.9,0.999,0.31650246305418717,0.4444444444444444
200,0.0001,40,0.0081,0.51,0.5051,0.38743842364532016,0.4444444444444444
50,0.0001,224,0.0999,0.8999,0.999,0.31650246305418717,0.4444444444444444
190,0.0001,68,0.0029,0.8776,0.7433,0.3448275862068965,0.4444444444444444
200,0.0001,23,0.0001,0.1,0.999,0.5635467980295567,0.6944444444444444
103,0.0001,144,0.0801,0.51,0.5051,0.38743842364532016,0.4444444444444444
167,0.0001,22,0.0001,0.9,0.999,0.422167487684729,0.16666666666666666
50,0.0001,10,0.0001,0.1,0.999,0.39384236453201965,0.8055555555555556
53,0.5743,96,0.0382,0.4876,0.2457,0.3884236453201971,0.3888888888888889
101,0.0003,11,0.0003,0.7003,0.4003,0.45665024630541867,0.6944444444444444
200,0.0001,13,0.0001,0.1,0.999,0.6339901477832512,0.7777777777777778
94,0.0001,13,0.1,0.1,0.999,0.38743842364532016,0.4444444444444444
200,0.0001,21,0.0009,0.4,0.999,0.43645320197044335,0.75
