feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,score,generalization_score
7,0.27384505982301605,5.7187408672443325e-05,0.032434060996912005,0.019627781772875,0.01432419850735,0.958128078817734,0.9722222222222222
4,0.048934273926388,0.19838373711533402,0.081415282032941,0.068637163305826,0.143931321718827,0.7179802955665024,0.8888888888888888
4,0.56546022421217,0.013693796598963002,0.13590065737339302,0.06804373593266101,0.087962053186335,0.9298029556650247,0.8888888888888888
3,0.024850681527716002,0.40037228433776806,0.43306383724353503,0.042216314909836,0.147965672086171,0.38743842364532016,0.4444444444444444
13,0.609970094480184,0.042522105684888005,0.011641534821384001,0.02182325676209,0.304953075049531,0.9295566502463055,0.8333333333333334
9,0.2645,0.0489,0.0478,0.0175,0.1802,0.9443349753694582,0.9444444444444444
15,0.9899,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
10,0.74,0.15,0.3,0.4,0.2,0.8450738916256159,0.8611111111111112
6,0.4636,0.1375,0.094,0.069,0.149,0.9157635467980297,0.8333333333333334
2,0.99,0.0001,0.01,0.99,0.49,0.38743842364532016,0.4444444444444444
7,0.2987,0.0414,0.0258,0.0359,0.0489,0.9509852216748769,0.9444444444444444
13,0.9885,0.4883,0.1013,0.9897,0.1023,0.38743842364532016,0.4444444444444444
6,0.15,0.05,0.49,0.99,0.49,0.38743842364532016,0.4444444444444444
12,0.9785,0.4563,0.0991,0.9674,0.2287,0.38743842364532016,0.4444444444444444
9,0.4148,0.0001,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
6,0.1875,0.05,0.49,0.98,0.49,0.38743842364532016,0.4444444444444444
12,0.98,0.4999,0.49,0.99,0.49,0.38743842364532016,0.4444444444444444
5,0.0782,0.1469,0.049,0.0784,0.1459,0.7810344827586208,0.9722222222222222
8,0.3088,0.0039,0.0196,0.0392,0.0294,0.951231527093596,0.9444444444444444
10,0.4161,0.01,0.01,0.01,0.01,0.9790640394088671,0.9722222222222222
11,0.17,0.009,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
14,0.9889,0.0499,0.01,0.01,0.01,0.9157635467980297,0.9166666666666666
11,0.9849,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
8,0.415,0.0001,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
13,0.9899,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
15,0.9849,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
6,0.9899,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
1,0.99,0.5,0.49,0.99,0.49,0.38743842364532016,0.4444444444444444
12,0.416,0.01,0.01,0.01,0.01,0.9790640394088671,0.9722222222222222
3,0.99,0.01,0.01,0.01,0.01,0.9366995073891626,0.9166666666666666
