max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
15,0.12361635568470201,0.48634217998244206,0.161502478063277,0.24683810216787802,0.023186415725322002,0.38743842364532016,0.4444444444444444
15,0.010290425114510001,0.126491181191721,0.054310392782503006,0.35922287866378605,0.021583731917407003,0.8736453201970443,0.9722222222222222
13,0.917294948261656,0.08192112070234901,0.102237798808069,0.010421565748011001,0.045017488943327,0.9224137931034482,0.8333333333333334
2,0.8112044630651181,0.21807332343989802,0.401751700754077,0.370834301903653,0.291204965854912,0.38743842364532016,0.4444444444444444
3,0.014111397905356001,0.30037136068888404,0.019226752087066,0.29077647894117903,0.049017393208869005,0.38743842364532016,0.4444444444444444
15,0.99,0.0001,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
11,0.8306,0.19,0.2,0.02,0.23,0.9081280788177339,0.8333333333333334
14,0.9447,0.001,0.03,0.01,0.03,0.9226600985221676,0.9166666666666666
8,0.403,0.0,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
9,0.7067,0.0,0.01,0.01,0.01,0.9578817733990148,0.8611111111111112
15,0.9894,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
10,0.9899,0.0,0.0101,0.0101,0.0101,0.9298029556650247,0.9166666666666666
7,0.9285,0.0001,0.0101,0.0101,0.0101,0.9298029556650247,0.9166666666666666
9,0.8312,0.0001,0.0199,0.0112,0.045,0.9440886699507389,0.9722222222222222
8,0.978,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
13,0.8972,0.0,0.01,0.01,0.01,0.9507389162561577,0.9722222222222222
11,0.6532,0.0,0.01,0.01,0.01,0.9507389162561577,0.8888888888888888
8,0.4,0.0,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
10,0.987,0.005,0.01,0.01,0.02,0.9438423645320198,0.9722222222222222
15,0.9899,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
8,0.3333,0.0,0.01,0.01,0.01,0.9583743842364532,0.9444444444444444
8,0.405,0.0,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
11,0.978,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
9,0.6225,0.0123,0.0101,0.0101,0.0101,0.9507389162561577,0.9166666666666666
9,0.978,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
11,0.978,0.0,0.0101,0.0101,0.0101,0.9298029556650247,0.9166666666666666
12,0.9899,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
7,0.99,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
9,0.4112,0.0,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
9,0.918,0.0,0.01,0.01,0.01,0.9507389162561577,0.9722222222222222
