max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,1.0031787479507257,0.8375528864066757
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0031787479507257,0.8375528864066757
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.7806096126444759,0.8259999677609675
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0031787479507257,0.8375528864066757
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.8778188471553643,0.7627234222753011
9,0.45,0.0,0.01,0.01,0.49,0.898309875721754,0.8076395478075412
15,0.99,0.0,0.01,0.01,0.49,0.7071571773822505,0.6657032131689524
15,0.99,0.0,0.01,0.15,0.25,0.6920316489704994,0.7452136205422051
12,0.49,0.0,0.01,0.01,0.49,0.898309875721754,0.8076395478075412
9,0.56,0.0,0.01,0.14,0.25,0.7806096126444759,0.8259999677609675
15,0.99,0.0,0.01,0.99,0.49,0.7071571773822505,0.6657032131689524
10,0.1,0.0,0.01,0.03,0.01,0.7943576275932266,0.8516145493046934
15,0.99,0.0,0.02,0.16,0.23,0.6950291133299853,0.7503610232236916
15,0.99,0.0,0.02,0.11,0.01,0.6080000596993628,0.7408608139661751
15,0.99,0.0,0.03,0.47,0.07,0.646554537931156,0.7096949573260257
15,0.99,0.0,0.01,0.12,0.01,0.6317004819829752,0.7073215038725502
15,0.99,0.0,0.01,0.05,0.03,0.6481572543056694,0.789221232673442
15,0.99,0.0,0.02,0.08,0.21,0.6792844891774944,0.7287730661504601
15,0.99,0.0,0.01,0.01,0.01,0.8462600457866118,0.9331771792886927
15,0.99,0.0,0.01,0.01,0.02,0.7379622680711253,0.8068070764522887
15,0.99,0.0,0.04,0.11,0.01,0.597789231056576,0.7326018839090339
14,0.97,0.0,0.01,0.01,0.01,0.8462600457866118,0.9331771792886927
15,0.99,0.0,0.02,0.01,0.01,0.7379622680711253,0.8068070764522887
9,0.56,0.0,0.03,0.11,0.03,0.6434295356412819,0.6736296969757162
13,0.12,0.0,0.05,0.17,0.34,0.8129659455539547,0.7641503009399319
11,0.07,0.0,0.01,0.01,0.49,1.0031787479507257,0.8375528864066757
11,0.45,0.0,0.49,0.01,0.49,0.898309875721754,0.8076395478075412
6,0.99,0.0,0.32,0.38,0.16,0.7442988545829954,0.7292365135492956
15,0.99,0.0,0.05,0.08,0.05,0.5895724215507177,0.7452709415585489
15,0.99,0.0,0.07,0.91,0.25,0.7606835230253733,0.8339545715095816
