hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.9763268917518577,0.8489117053927336
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,1.0324066068659166,0.8755181839270045
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.9943162061444217,0.8192556410609064
71,1.6615887770118951,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.986714792434525,0.8428386122103648
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,1.008314503776763,0.8330128948447622
81,0.01234,138,0.06429,0.7,0.997,0.9968181746990353,0.85181165666313
55,1e-05,10,1e-05,0.1,0.001,0.9830146395640795,0.8303380170269027
200,1e-05,10,1e-05,0.1,0.001,1.0280994526779579,0.8580697751900057
50,1e-05,10,1e-05,0.9,0.001,1.0508926112563224,0.8941537888032022
101,0.001,124,0.03,0.5,0.15,0.9724918508196682,0.8109778914791573
126,0.0001,52,0.005,0.5,0.8,1.0193516988727545,0.8465691045552972
155,0.03003,249,0.07969,0.4,0.82,0.88821218760613,0.8000823508649547
179,0.00357,132,0.03235,0.6,0.721,0.9898970469732964,0.825853956159715
132,0.00457,128,0.0378,0.3,0.815,0.9974336942457407,0.7950779066569552
200,0.00011,22,1e-05,0.9,0.003,1.028122012610451,0.8580757700896272
146,0.00058,34,0.04335,0.7,0.919,0.8884347981294718,0.7472986635197408
139,1e-05,10,1e-05,0.1,0.001,1.012461469906327,0.8725407603659601
122,0.00016,135,0.06058,0.5,0.894,0.9753385747339772,0.7820201656751249
50,1e-05,250,0.1,0.9,0.999,1.1904660945915582,0.8431596516522716
71,0.00058,34,0.04335,0.7,0.919,0.9309300066447215,0.7415437837581651
71,0.00058,250,0.04335,0.7,0.919,0.9666274570069848,0.8303803171792232
181,0.03801,154,0.08761,0.7,0.999,1.0241035273552193,1.034903371736115
200,1e-05,10,0.1,0.9,0.999,0.8263833874323124,1.8320924471270197
200,0.00015,119,0.04353,0.5,0.913,0.9926433884369347,0.8081633053631947
82,1e-05,250,0.1,0.9,0.999,1.2451340773888646,0.8265834862752498
157,0.00089,219,0.00432,0.6,0.995,1.0984778866308225,0.8586264376464849
140,0.00091,136,0.04897,0.3,0.824,0.9268984010603283,0.7651248692347652
200,1e-05,250,0.1,0.9,0.999,1.1413619225190161,0.9275431215079967
200,0.00045,33,0.00085,0.4,0.812,1.0268271188941835,0.8571175612907684
200,0.00032,224,0.08012,0.6,0.823,1.0424693785374068,0.8492888749216293
