max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.9305968797093168,0.7759642321565792
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,1.0043711746891228,0.8375444328238856
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.5647233482240218,0.6218475402836945
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,1.0043711746891228,0.8375444328238856
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,1.0043711746891228,0.8375444328238856
15,0.57,0.0,0.01,0.99,0.01,1.0043711746891228,0.8375444328238856
15,0.99,0.0,0.01,0.01,0.49,0.6530771462942688,0.5823631356907221
9,0.84,0.0,0.01,0.01,0.36,0.635014855287751,0.6116833374042192
9,0.63,0.0,0.01,0.01,0.19,0.5575061465093636,0.5901728301323952
10,0.51,0.0,0.01,0.01,0.35,0.6934118691544443,0.6428299992393975
8,0.68,0.0,0.01,0.01,0.26,0.5676395575434514,0.6016808288833841
15,0.16,0.0,0.01,0.01,0.08,0.6225970023321155,0.588412565974108
6,0.35,0.0,0.01,0.01,0.12,0.6041781475748701,0.5995984984043242
15,0.28,0.0,0.01,0.01,0.49,0.849008286877671,0.7423633821822908
13,0.39,0.0,0.02,0.02,0.15,0.6007872277878283,0.5741912442086513
13,0.63,0.0,0.01,0.01,0.19,0.5575061465093636,0.5901728301323952
12,0.61,0.0,0.07,0.08,0.11,0.5198284594224608,0.6299773539701939
15,0.98,0.0,0.01,0.01,0.01,0.5490761254114039,0.6610394873040452
15,0.78,0.0,0.02,0.03,0.11,0.5262452783428563,0.6175152651008097
15,0.67,0.0,0.02,0.02,0.16,0.5489642035447394,0.5727580515581916
10,0.54,0.0,0.01,0.01,0.12,0.5343134217258655,0.6226328482037728
15,0.01,0.0,0.01,0.01,0.01,0.5691916785937224,0.6583903992617206
12,0.53,0.0,0.1,0.1,0.16,0.5594273108509104,0.6136055565117818
12,0.49,0.0,0.01,0.01,0.01,0.542735568212602,0.6635291100758751
15,0.34,0.0,0.01,0.01,0.49,0.8229901605700123,0.7106239003797399
11,0.51,0.0,0.01,0.01,0.13,0.5410104272149046,0.6134082767807773
15,0.01,0.0,0.49,0.01,0.01,1.0043711746891228,0.8375444328238856
9,0.01,0.0,0.01,0.01,0.01,0.5618719094156025,0.6551655179776632
12,0.54,0.0,0.15,0.15,0.11,0.5868977174762785,0.579306400847566
9,0.49,0.0,0.09,0.14,0.31,0.690979763734892,0.6640566268825806
