C,gamma,tol,score,generalization_score
44.30375245218264,0.000519026301769,0.002576638574613,0.9638681203266675,0.8168594685633435
43.11710058685489,0.000265249637675,0.003833332156156,0.9976332104674267,0.8502615752615806
20.547625125911335,0.000779422611516,0.071556821617548,0.987160323894501,0.8382314514748238
14.135935551752295,0.000619049016677,0.001304907355036,1.0069940286357184,0.8577729637579373
50.598038746604296,0.0008425518534430001,1.9237305096546492e-05,0.9176306195256885,0.7752828978463789
78.3,0.0008,7e-05,0.8670415627629862,0.7342945409390346
235.0,0.0009,0.00844,0.6634571503207822,0.594402845842748
552.0,0.0007,0.00159,0.5764629355776794,0.5548049747228446
40.0,0.0007,0.0013,0.9492512470432704,0.8056932952474715
732.0,0.0002,3e-05,0.7266679661878539,0.6342005535655324
245.0,0.0009,0.1,0.6591068728582982,0.5966731702719703
1000.0,0.0001,1e-05,0.7972632548610704,0.6800373757411624
573.0,0.0005,0.00257,0.6152324219759849,0.5704046324749528
200.0,0.0004,0.00849,0.8312813609908396,0.707811489104718
364.0,0.0002,2e-05,0.8441378984224098,0.721043893673505
612.0,0.0006,0.04673,0.5832449732247584,0.5577644854803512
398.0,0.0009,0.00102,0.584187972735565,0.558168719113366
363.5,0.0006,0.00519,0.6582023074860983,0.5923104146150849
38.11,0.0009,0.04012,0.9370758764245697,0.7933889830133679
767.1,0.0005,0.00018,0.5769768673083729,0.5551637619515779
333.0,0.0008,0.00034,0.6237647924034186,0.5771171491849846
442.0,0.0008,4e-05,0.5860037321797321,0.5589623363744758
97.5,0.001,1e-05,0.8011857767703183,0.6824610905093698
414.0,0.0006,6e-05,0.6343949159853912,0.5824857939577851
119.7078,0.0007,0.00434,0.8247033659447087,0.7020182813241301
396.0,0.0005,0.00014,0.6754448446163732,0.5995306979183472
646.0,0.0008,0.02479,0.5461225178936663,0.5451719136177617
350.0,0.0003,0.00025,0.7889405063119923,0.6762067380471286
186.0,0.0008,0.06234,0.7250816786507746,0.6339869225659776
429.0,0.0008,0.05432,0.5907581897167038,0.5591376014967965
