max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10716705381339528,0.08055555555555556
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10716705381339528,0.08055555555555556
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.2769623499806427,0.2361111111111111
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10716705381339528,0.08055555555555556
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10716705381339528,0.08055555555555556
15,0.97,0.0,0.01,0.15,0.01,0.6826558265582656,0.6277777777777778
15,0.99,0.0,0.01,0.01,0.48,0.19484610917537748,0.14722222222222223
15,0.99,0.0,0.01,0.01,0.15,0.44118999225706546,0.3888888888888889
15,0.99,0.0,0.01,0.99,0.01,0.20876403406891214,0.15555555555555556
15,0.88,0.0,0.01,0.15,0.15,0.4488361401471157,0.39444444444444443
15,0.93,0.0,0.02,0.17,0.03,0.6388042005420054,0.6027777777777777
15,0.99,0.0,0.01,0.13,0.01,0.70420054200542,0.6694444444444444
15,0.98,0.0,0.02,0.01,0.48,0.19484610917537748,0.14722222222222223
15,0.99,0.0,0.01,0.06,0.02,0.7640752032520325,0.7583333333333333
15,0.99,0.0,0.01,0.62,0.01,0.3006266937669376,0.23333333333333334
15,0.99,0.0,0.01,0.18,0.11,0.5421312427409989,0.5194444444444445
15,0.99,0.0,0.02,0.01,0.02,0.7717261904761905,0.7166666666666667
13,0.82,0.0,0.03,0.1,0.05,0.7063129113433992,0.6638888888888889
14,0.86,0.0,0.02,0.16,0.02,0.6589818041037553,0.5944444444444444
15,0.99,0.0,0.01,0.11,0.01,0.7230013550135501,0.6861111111111111
8,0.46,0.0,0.01,0.04,0.01,0.752269647696477,0.7527777777777778
10,0.52,0.0,0.02,0.32,0.09,0.45228174603174603,0.39444444444444443
10,0.5,0.0,0.01,0.1,0.01,0.711203058459156,0.6722222222222223
15,0.99,0.0,0.04,0.07,0.05,0.7146583430120016,0.6861111111111111
11,0.4,0.0,0.1,0.09,0.11,0.505925764614789,0.4638888888888889
15,0.99,0.0,0.01,0.01,0.01,0.8072130274874179,0.7888888888888889
11,0.44,0.0,0.01,0.01,0.32,0.19624709639953541,0.1527777777777778
14,0.88,0.0,0.01,0.01,0.03,0.7459712543554007,0.7027777777777777
10,0.97,0.0,0.01,0.02,0.01,0.8044304103755323,0.7888888888888889
8,0.01,0.0,0.02,0.08,0.01,0.4509049554781262,0.44722222222222224
