hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.8267276422764228,0.8444444444444444
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,0.14890389082462252,0.14722222222222223
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.9213995354239257,0.9055555555555556
71,1.6615887770118951,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.8455163569492837,0.8416666666666667
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.9269623499806426,0.9138888888888889
153,0.10248,119,0.02607,0.7,0.899,0.8385307781649244,0.7805555555555556
86,0.0001,11,0.00999,0.5,0.998,0.26640776229190866,0.37777777777777777
111,0.00057,31,0.00995,0.6,0.999,0.9144308943089431,0.925
123,0.00069,15,0.04716,0.5,0.953,0.1370692992644212,0.11388888888888889
69,7e-05,29,0.07234,0.3,0.501,0.7361643437862949,0.7694444444444445
178,0.0015,92,1e-05,0.6,0.998,0.11065621370499419,0.10277777777777777
125,0.00067,212,0.09999,0.1,0.001,0.9547643244289586,0.9583333333333334
113,3e-05,161,0.07,0.1,0.001,0.9429515098722415,0.9666666666666667
90,7e-05,220,0.09999,0.1,0.001,0.9248475609756097,0.9611111111111111
190,3e-05,150,0.001,0.9,0.001,0.09324912891986062,0.10277777777777777
167,3e-05,239,0.04005,0.3,0.007,0.8733304297328688,0.8916666666666667
61,3e-05,210,0.09999,0.1,0.001,0.9130395857530005,0.8916666666666667
123,0.00056,14,0.05612,0.6,0.828,0.1717479674796748,0.1
200,2e-05,10,1e-05,0.1,0.999,0.9436411149825783,0.9472222222222222
102,1e-05,100,1e-05,0.1,0.999,0.7279084397986837,0.7222222222222222
78,0.0001,135,0.09999,0.1,0.999,0.2756266937669377,0.1361111111111111
200,1e-05,250,1e-05,0.1,0.001,0.11342431281455671,0.13055555555555556
53,5e-05,140,0.09998,0.1,0.999,0.27966995741385986,0.11388888888888889
92,9e-05,157,0.1,0.1,0.999,0.44807394502516446,0.5444444444444444
123,0.00035,64,0.045,0.7,0.998,0.41417440960123886,0.6194444444444445
131,0.00069,163,0.07001,0.1,0.001,0.9457171893147504,0.9527777777777777
200,4e-05,10,1e-05,0.1,0.999,0.9436411149825783,0.9472222222222222
74,3e-05,185,1e-05,0.1,0.999,0.31794425087108014,0.6694444444444444
190,5e-05,250,1e-05,0.1,0.999,0.0988046844754162,0.075
128,1e-05,114,1e-05,0.9,0.001,0.11620209059233451,0.11666666666666667
