max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10577574525745259,0.08055555555555556
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10577574525745259,0.08055555555555556
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.6506629887727449,0.5972222222222222
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10577574525745259,0.08055555555555556
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10577574525745259,0.08055555555555556
15,0.99,0.0,0.01,0.01,0.01,0.8844754161827332,0.875
14,0.74,0.0,0.13,0.11,0.07,0.6318645954316686,0.5777777777777777
11,0.99,0.0,0.01,0.99,0.49,0.10577574525745259,0.08055555555555556
15,0.99,0.0,0.01,0.49,0.01,0.493348335269067,0.5055555555555555
15,0.8,0.0,0.02,0.02,0.25,0.5921796360820751,0.6416666666666667
15,0.96,0.0,0.01,0.99,0.01,0.10577574525745259,0.08055555555555556
15,0.99,0.0,0.49,0.01,0.01,0.10577574525745259,0.08055555555555556
11,0.44,0.0,0.01,0.01,0.49,0.40294957413859855,0.42777777777777776
15,0.01,0.0,0.01,0.01,0.01,0.7668820170344561,0.7611111111111111
8,0.98,0.0,0.01,0.01,0.01,0.883780971738289,0.8722222222222222
12,0.73,0.0,0.06,0.22,0.15,0.6826606658923733,0.575
8,0.97,0.0,0.02,0.02,0.47,0.40848093302361593,0.4638888888888889
15,0.4,0.0,0.27,0.03,0.27,0.43905826558265587,0.4
11,0.98,0.0,0.01,0.01,0.01,0.8872580332946187,0.8694444444444445
15,0.99,0.0,0.01,0.99,0.01,0.10577574525745259,0.08055555555555556
13,0.49,0.0,0.01,0.01,0.01,0.9004742547425474,0.8916666666666667
14,0.98,0.0,0.01,0.01,0.01,0.8872580332946187,0.8694444444444445
15,0.99,0.0,0.01,0.47,0.01,0.5003339140534262,0.5138888888888888
15,0.25,0.0,0.01,0.01,0.01,0.907430797522261,0.9055555555555556
10,0.39,0.0,0.03,0.03,0.03,0.861512775842044,0.8416666666666667
11,0.5,0.0,0.01,0.01,0.01,0.9004911924119241,0.8972222222222223
12,0.45,0.0,0.01,0.01,0.03,0.8823654665118079,0.8444444444444444
15,0.99,0.0,0.02,0.02,0.47,0.4008154277971351,0.4638888888888889
10,0.39,0.0,0.01,0.01,0.01,0.8997846496322106,0.9083333333333333
15,0.69,0.0,0.02,0.02,0.26,0.6373983739837398,0.6638888888888889
