max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.38743842364532016,0.4444444444444444
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.38743842364532016,0.4444444444444444
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.873399014778325,0.8888888888888888
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.38743842364532016,0.4444444444444444
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.548768472906404,0.5277777777777778
15,0.99,0.0,0.01,0.99,0.01,0.626847290640394,0.6388888888888888
15,0.98,0.0,0.01,0.02,0.03,0.9366995073891626,0.8611111111111112
15,0.99,0.0,0.01,0.25,0.01,0.9229064039408869,0.9444444444444444
15,0.96,0.0,0.01,0.95,0.01,0.626847290640394,0.6388888888888888
15,0.99,0.0,0.01,0.01,0.49,0.6128078817733991,0.5555555555555556
9,0.7,0.0,0.01,0.01,0.01,0.958128078817734,0.9166666666666666
12,0.51,0.0,0.01,0.01,0.12,0.873399014778325,0.8611111111111112
15,0.99,0.0,0.01,0.5,0.01,0.9224137931034484,0.8055555555555556
10,0.64,0.0,0.05,0.16,0.33,0.7411330049261085,0.8888888888888888
15,0.98,0.0,0.02,0.95,0.01,0.626847290640394,0.6388888888888888
15,0.99,0.0,0.01,0.98,0.01,0.626847290640394,0.6388888888888888
15,0.67,0.0,0.01,0.08,0.12,0.8458128078817733,0.8888888888888888
15,0.99,0.0,0.01,0.97,0.01,0.626847290640394,0.6388888888888888
15,0.99,0.0,0.01,0.63,0.01,0.8603448275862069,0.8055555555555556
15,0.99,0.0,0.01,0.56,0.01,0.9224137931034484,0.8055555555555556
15,0.01,0.0,0.01,0.01,0.01,0.783743842364532,0.8055555555555556
15,0.99,0.0,0.01,0.01,0.01,0.9366995073891626,0.9444444444444444
10,0.64,0.0,0.01,0.01,0.1,0.8458128078817733,0.8888888888888888
15,0.52,0.0,0.01,0.01,0.01,0.9371921182266011,0.8611111111111112
7,0.81,0.0,0.01,0.01,0.04,0.8665024630541872,0.8888888888888888
11,0.66,0.0,0.01,0.01,0.01,0.8672413793103448,0.9166666666666666
11,0.65,0.0,0.02,0.48,0.32,0.7911330049261085,0.8888888888888888
15,0.99,0.0,0.01,0.96,0.01,0.626847290640394,0.6388888888888888
14,0.33,0.0,0.01,0.32,0.01,0.880295566502463,0.9166666666666666
15,0.48,0.0,0.01,0.01,0.25,0.8519704433497536,0.75
