hidden_layer_sizes,alpha,batch_size,learning_rate_init,power_t,momentum,score,generalization_score
139,1.163039571448033,216,0.024491024634012003,0.39357815616936004,0.014222570771709001,0.3169950738916256,0.16666666666666666
95,2.1891618132748293e-05,75,0.0008140675984580001,0.5956702712389661,0.027524723274259002,0.35985221674876844,0.16666666666666666
109,1.03865802565003,91,0.003914600869268,0.224590680510133,0.74310397027772,0.36600985221674875,0.4444444444444444
71,1.6615887770118951,124,0.015982437247411,0.31380635630588305,0.108728553222819,0.3098522167487685,0.16666666666666666
158,0.031054086075930003,139,0.01082586226325,0.126200635206691,0.026338768980858,0.3027093596059113,0.16666666666666666
200,1e-05,10,0.1,0.1,0.999,0.3374384236453202,0.4444444444444444
125,3e-05,85,0.01,0.8,0.5,0.29556650246305416,0.16666666666666666
107,0.00102,105,0.02744,0.6,0.512,0.3455665024630542,0.3888888888888889
191,0.0002,145,0.001,0.7,0.82,0.4152709359605911,0.3333333333333333
152,1e-05,203,1e-05,0.9,0.999,0.39408866995073893,0.3333333333333333
95,3e-05,205,0.00033,0.4,0.873,0.38743842364532016,0.2222222222222222
200,1e-05,250,1e-05,0.9,0.001,0.06305418719211822,0.08333333333333333
102,0.1,128,1e-05,0.1,0.999,0.39384236453201965,0.4444444444444444
200,2e-05,250,1e-05,0.9,0.999,0.25270935960591134,0.1388888888888889
117,0.00056,238,0.04443,0.3,0.784,0.33078817733990146,0.16666666666666666
130,1e-05,50,1e-05,0.9,0.999,0.32413793103448274,0.3888888888888889
76,0.0321,210,0.00572,0.8,0.896,0.29556650246305416,0.4444444444444444
200,1e-05,250,0.0001,0.1,0.999,0.3169950738916256,0.4444444444444444
200,1e-05,10,1e-05,0.9,0.999,0.3455665024630542,0.6666666666666666
50,1e-05,10,0.1,0.9,0.999,0.30935960591133005,0.4444444444444444
189,0.0009,192,0.06789,0.4,0.555,0.3522167487684729,0.4444444444444444
57,0.0001,123,0.02,0.9,0.715,0.37315270935960587,0.4166666666666667
169,0.00123,200,0.0001,0.7,0.998,0.3169950738916256,0.3888888888888889
50,1e-05,250,1e-05,0.1,0.001,0.3876847290640394,0.4722222222222222
200,1e-05,236,1e-05,0.9,0.001,0.06305418719211822,0.08333333333333333
96,0.00042,208,0.00087,0.8,0.882,0.3169950738916256,0.3888888888888889
50,0.00017,227,0.08542,0.7,0.849,0.3312807881773399,0.4444444444444444
50,1e-05,10,1e-05,0.9,0.999,0.3169950738916256,0.3888888888888889
98,0.00217,59,0.03256,0.3,0.667,0.37315270935960587,0.4444444444444444
185,0.0001,125,0.001,0.5,0.7,0.4088669950738916,0.8055555555555556
