max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.4945812807881773,0.4444444444444444
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.38743842364532016,0.4444444444444444
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.9014778325123153,0.8333333333333334
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.38743842364532016,0.4444444444444444
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.38743842364532016,0.4444444444444444
15,0.99,0.0,0.01,0.99,0.49,0.38743842364532016,0.4444444444444444
15,0.99,0.0,0.01,0.99,0.01,0.38743842364532016,0.4444444444444444
9,0.82,0.0,0.06,0.21,0.29,0.922167487684729,0.8333333333333334
15,0.99,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
15,0.99,0.0,0.02,0.15,0.49,0.8517241379310345,0.8888888888888888
8,0.43,0.0,0.08,0.11,0.18,0.9443349753694582,0.8333333333333334
11,0.52,0.0,0.02,0.09,0.24,0.9438423645320198,0.8333333333333334
12,0.49,0.0,0.01,0.01,0.01,0.972167487684729,0.9444444444444444
14,0.84,0.0,0.01,0.01,0.01,0.9438423645320198,0.9722222222222222
11,0.52,0.0,0.01,0.01,0.01,0.972167487684729,0.9444444444444444
10,0.54,0.0,0.01,0.01,0.01,0.9578817733990148,0.9444444444444444
13,0.46,0.0,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
8,0.44,0.0,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
14,0.95,0.0,0.03,0.01,0.02,0.9226600985221676,0.9166666666666666
7,0.65,0.0,0.05,0.13,0.15,0.9295566502463055,0.8333333333333334
15,0.99,0.0,0.1,0.99,0.25,0.38743842364532016,0.4444444444444444
15,0.99,0.0,0.02,0.01,0.01,0.9364532019704435,0.9166666666666666
14,0.99,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
7,0.65,0.0,0.01,0.01,0.01,0.9507389162561577,0.8888888888888888
9,0.68,0.0,0.01,0.01,0.01,0.9507389162561577,0.8888888888888888
11,0.5,0.0,0.01,0.01,0.01,0.972167487684729,0.9444444444444444
15,0.48,0.0,0.01,0.01,0.01,0.972167487684729,0.9444444444444444
14,0.98,0.0,0.01,0.01,0.01,0.9298029556650247,0.9166666666666666
13,0.45,0.0,0.02,0.02,0.26,0.9298029556650247,0.8333333333333334
15,0.45,0.0,0.01,0.01,0.01,0.972167487684729,0.9722222222222222
