X0,X1,X2,X3,X4,X5,score,generalization_score
15,0.12361635568470201,0.48634217998244206,0.161502478063277,0.24683810216787802,0.023186415725322002,0.10577574525745259,0.08055555555555556
15,0.010290425114510001,0.126491181191721,0.054310392782503006,0.35922287866378605,0.021583731917407003,0.10577574525745259,0.08055555555555556
13,0.917294948261656,0.08192112070234901,0.102237798808069,0.010421565748011001,0.045017488943327,0.10577574525745259,0.08055555555555556
2,0.8112044630651181,0.21807332343989802,0.401751700754077,0.370834301903653,0.291204965854912,0.10577574525745259,0.08055555555555556
3,0.014111397905356001,0.30037136068888404,0.019226752087066,0.29077647894117903,0.049017393208869005,0.10577574525745259,0.08055555555555556
11,0.2224,0.2017,0.2098,0.1993,0.109,0.10577574525745259,0.08055555555555556
4,0.99,0.0001,0.4899,0.9899,0.4899,0.10577574525745259,0.08055555555555556
4,0.9899,0.0001,0.49,0.9899,0.49,0.10577574525745259,0.08055555555555556
9,0.9897,0.0003,0.4897,0.9897,0.4897,0.10577574525745259,0.08055555555555556
9,0.9899,0.0001,0.49,0.9899,0.49,0.10577574525745259,0.08055555555555556
5,0.5,0.0,0.01,0.01,0.01,0.8740563298490127,0.8527777777777777
6,0.5475,0.2,0.15,0.95,0.25,0.10577574525745259,0.08055555555555556
11,0.95,0.25,0.11,0.99,0.23,0.10577574525745259,0.08055555555555556
7,0.7001,0.1501,0.2101,0.8999,0.2501,0.10577574525745259,0.08055555555555556
8,0.7,0.1,0.24,0.85,0.29,0.10577574525745259,0.08055555555555556
10,0.4899,0.0101,0.49,0.9899,0.49,0.10577574525745259,0.08055555555555556
7,0.7321,0.1556,0.49,0.95,0.2,0.10577574525745259,0.08055555555555556
15,0.9898,0.01,0.0101,0.9898,0.01,0.10577574525745259,0.08055555555555556
6,0.9,0.1,0.49,0.95,0.49,0.10577574525745259,0.08055555555555556
8,0.5,0.0,0.01,0.99,0.01,0.10577574525745259,0.08055555555555556
3,0.95,0.4999,0.01,0.95,0.01,0.10577574525745259,0.08055555555555556
5,0.9899,0.0001,0.49,0.9899,0.49,0.10577574525745259,0.08055555555555556
10,0.5635,0.0764,0.2825,0.9053,0.26,0.10577574525745259,0.08055555555555556
2,0.99,0.0001,0.01,0.99,0.01,0.10577574525745259,0.08055555555555556
10,0.4501,0.1299,0.3501,0.7501,0.1901,0.10577574525745259,0.08055555555555556
12,0.5789,0.1846,0.3499,0.8512,0.2897,0.10577574525745259,0.08055555555555556
12,0.7625,0.2648,0.2025,0.7396,0.2121,0.10577574525745259,0.08055555555555556
8,0.4889,0.0001,0.01,0.95,0.01,0.10577574525745259,0.08055555555555556
15,0.49,0.0,0.49,0.01,0.49,0.10577574525745259,0.08055555555555556
5,0.9896,0.0004,0.49,0.9896,0.49,0.10577574525745259,0.08055555555555556
